Scanned /home/runner/work/naftis/naftis/bom.json as CycloneDX SBOM and found 80 packages
+-------------------------------------+-----------+------------------------------------+---------------+----------+
| OSV URL (ID IN BOLD)                | ECOSYSTEM | PACKAGE                            | VERSION       | SOURCE   |
| https://osv.dev/GHSA-mx9v-gmh4-mgqw | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-p43x-xfjf-5jhr | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-q93h-jc49-78gg | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-qjw2-hr98-qgfh | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-qmqc-x3r4-6v39 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-r3gr-cxrf-hg25 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-r695-7vr9-jgc2 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-rf6r-2c4q-2vwg | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-rgv9-q543-rqg4 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-rpr3-cw39-3pxh | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-v3xw-c963-f5hc | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-v585-23hc-c647 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-vfqx-33qm-g869 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-wh8g-3j2c-rqj5 | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-x2w5-5m2g-7h5m | Maven     | jackson-databind                   | 2.9.6         | bom.json |
| https://osv.dev/GHSA-h4x4-5qp2-wp46 | Maven     | jackson-datatype-jsr310            | 2.9.6         | bom.json |
| https://osv.dev/GHSA-36p3-wjmg-h94x | Maven     | spring-boot-starter-web            | 2.0.5.RELEASE | bom.json |
| https://osv.dev/GHSA-2rvv-w9r2-rg7m | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-344f-f5vg-2jfj | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-8vmx-qmch-mpqg | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-9xcj-c8cr-8c3c | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-c9hw-wf7x-jp9j | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-hh3j-x4mc-g48r | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-j39c-c8hj-x4j3 | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-jgwr-3qm3-26f3 | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-jjpq-gp5q-8q6w | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-q4hg-rmq2-52q9 | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-qcxh-w3j9-58qr | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-qxf4-chvg-4r8r | Maven     | tomcat-embed-core                  | 8.5.34        | bom.json |
| https://osv.dev/GHSA-m8p2-495h-ccmh | Maven     | hibernate-validator                | 6.0.12.Final  | bom.json |
| https://osv.dev/GHSA-rmrm-75hp-phr2 | Maven     | hibernate-validator                | 6.0.12.Final  | bom.json |
| https://osv.dev/GHSA-4wrc-f8pq-fpqp | Maven     | spring-web                         | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-36p3-wjmg-h94x | Maven     | spring-beans                       | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-36p3-wjmg-h94x | Maven     | spring-webmvc                      | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-8wx2-9q48-vm9r | Maven     | spring-webmvc                      | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-558x-2xjg-6232 | Maven     | spring-expression                  | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-7r82-7xv7-xcpj | Maven     | httpclient                         | 4.5.6         | bom.json |
| https://osv.dev/GHSA-gwrp-pvrq-jmwv | Maven     | commons-io                         | 2.5           | bom.json |
| https://osv.dev/GHSA-cm59-pr5q-cw85 | Maven     | spring-boot                        | 2.0.5.RELEASE | bom.json |
| https://osv.dev/GHSA-564r-hj7v-mcr5 | Maven     | spring-core                        | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-ffvq-7w96-97p7 | Maven     | spring-core                        | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-g5mm-vmx4-3rg7 | Maven     | spring-core                        | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-hh26-6xwr-ggv7 | Maven     | spring-core                        | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-rqph-vqwm-22vc | Maven     | spring-core                        | 5.0.9.RELEASE | bom.json |
| https://osv.dev/GHSA-wxqc-pxw9-g2p8 | Maven     | spring-core                        | 5.0.9.RELEASE | bom.json |
+-------------------------------------+-----------+------------------------------------+---------------+----------+
